Parcel ID,LUC ,Prior Year Due,Column 1,Column 2,Column 3
Q6541017000052,510,4553.31,,,
M5620191000001,510,4552.34,,,
A0700196000223,550,4550.08,,,
M5620231000028,510,4549.96,,,
Q6542105000040,510,4548.09,,,
H3610012000057,511,4546.78,,,
P6461043000010,455,4538.58,,,
K4620048000007,500,4535.42,,,
P6411025000075,510,4532.72,,,
D2020131000071,510,4530.81,,,
D2020086000028,510,4530.73,,,
M5620242000011,510,4529.78,,,
E2210020000032,482,4529.74,,,
Q6511056000015,510,4527.9,,,
P6421019000106,685,4527.52,,,
Q6511041000025,510,4524.32,,,
Q6542077000010,400,4521.15,,,
Q6531077000030,510,4512.32,,,
Q6542032000022,510,4508.51,,,
Q6532038000062,510,4507.67,,,
A0300020000016,510,4506.71,,,
Q6541003000080,510,4506.64,,,
P6462008000015,510,4504.73,,,
P6441027000079,400,4503.83,,,
M5620386000039,510,4501.99,,,
D2020143000036,510,4493.41,,,
P6411055000026,510,4492.69,,,
P6461029000021,435,4488.78,,,
Q6521007000040,510,4482.18,,,
Q6521007000129,510,4481.62,,,
P6421010000088,499,4481.37,,,
P6451006000100,510,4479.87,,,
Q6521009000048,420,4473.38,,,
H4100010000036,510,4472.83,,,
P6431054000012,510,4472.7,,,
P6441035000034,510,4470.62,,,
Q6542031000190,510,4470.07,,,
D2020223000050,510,4465.78,,,
H4100018000030,510,4453.59,,,
L5300004000018,510,4450.48,,,
Q6521005000028,510,4450.28,,,
E2210041000072,111,4447.58,,,
Q6511039000067,510,4445.29,,,
K4620064000518,510,4444.66,,,
D2020143000011,510,4439.23,,,
Q6511046000030,510,4432.8,,,
E2220041000026,510,4426.81,,,
A0700217000218,550,4416.19,,,
C1800002340014,510,4414.88,,,
Q6521037000102,510,4411.63,,,
M5620110000001,510,4411.16,,,
B1010019000016,111,4410.3,,,
M5620202000051,510,4403.07,,,
P6462009000045,510,4403.05,,,
B1320115000028,510,4402,,,
P6441054000024,510,4385.19,,,
C1710018000012,429,4381.82,,,
M5620061000040,510,4376.26,,,
P6441056000024,510,4374.97,,,
A0300134000027,510,4372.42,,,
D2020326000022,510,4369.16,,,
P6412006000054,510,4364.77,,,
P6461034000008,510,4359.89,,,
A0700010000020,510,4358.81,,,
Q6542031000239,510,4356.67,,,
M5620252000225,550,4348.05,,,
Q6532027000076,429,4346.05,,,
Q6541002000054,510,4336.81,,,
E2210040000026,511,4335.76,,,
E2220122000002,510,4332.63,,,
M5620088000040,510,4329.03,,,
B1010018000115,511,4326.54,,,
Q6532038000037,510,4325.69,,,
D2010008000016,511,4320.4,,,
A0700160000008,510,4313.17,,,
P6412110000030,510,4305.57,,,
P6461034000032,510,4305.25,,,
L4920057000153,510,4303.16,,,
A0700087000052,480,4300.47,,,
D2020301000044,510,4295.36,,,
Q6532037000055,510,4295.12,,,
A0300113000014,510,4292.23,,,
Q6541005000014,510,4290,,,
A0700019000063,510,4288.56,,,
P6441059000015,401,4288.05,,,
C1800008220128,510,4287.01,,,
R8000009000222,430,4286.97,,,
P6441059000016,401,4283.9,,,
P6441059000011,401,4282.72,,,
P6441059000014,401,4280.94,,,
N6110017000002,111,4280.6,,,
E2220148000005,510,4280.47,,,
